laptop_ID,Company,Product,TypeName,Inches,Ram_GB,OpSys,Weight_kg,Price_euros,Touchscreen,ScreenWidth,ScreenHeight,Cpu_producer,Cpu_series,Cpu_model,Cpu_GHz,Gpu_producer,Gpu_model,Gpu_series,Memory1_GB,Memory1_type,Memory2_GB,Memory2_type
300,Lenovo,Legion Y720-15IKB,Gaming,15.6,8,Windows 10,3.2,1299.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,1024,HDD,0,-
301,Acer,Aspire A715-71G,Notebook,15.6,8,Linux,2.5,979.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,256,SSD,0,-
302,Dell,Precision 7720,Workstation,17.3,16,Windows 10,3.42,2884.86,0,1920,1080,Intel,7820HQ,Core i7,2.9,Nvidia,Quadro,M1200,256,SSD,0,-
303,Lenovo,IdeaPad 310-15ABR,Notebook,15.6,6,Windows 10,2.4,499.0,0,1920,1080,AMD,9600P,A10-Series,2.4,AMD,Radeon R5,430,1024,HDD,0,-
304,Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,16,Windows 10,1.63,1468.0,0,1920,1080,Intel,7500U,Core i7,2.7,Nvidia,GeForce,940MX,512,SSD,0,-
305,Asus,VivoBook S14,Notebook,14.0,4,Windows 10,1.3,509.0,0,1366,768,Intel,7100U,Core i3,2.4,Intel,HD Graphics,620,128,SSD,0,-
306,Asus,Rog GL702VS-GC095T,Gaming,17.3,16,Windows 10,2.9,2122.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1070,256,SSD,1024,HDD
307,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,6,Windows 10,2.8,649.0,0,1600,900,Intel,7200U,Core i5,2.5,Nvidia,GeForce GTX,940M,1024,HDD,0,-
308,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,No OS,2.2,549.0,0,1366,768,Intel,7200U,Core i5,2.5,Nvidia,GeForce,940MX,2048,HDD,0,-
309,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,8,Windows 10,2.5,1265.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,128,SSD,1024,HDD
310,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,No OS,2.2,359.99,0,1366,768,Intel,N4200,Pentium Quad Core,1.1,Intel,HD Graphics,505,1024,HDD,0,-
311,HP,EliteBook x360,2 in 1 Convertible,13.3,16,Windows 10,1.28,1975.0,1,1920,1080,Intel,7600U,Core i7,2.8,Intel,HD Graphics,620,256,SSD,0,-
312,Toshiba,Satellite Pro,Notebook,15.6,8,Windows 10,2.2,1043.0,0,1920,1080,Intel,6500U,Core i7,2.5,Nvidia,GeForce,930M,256,SSD,0,-
313,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,Windows 10,2.3,819.0,0,1920,1080,Intel,7200U,Core i5,2.5,Nvidia,GeForce,940MX,128,SSD,1024,HDD
314,HP,250 G6,Notebook,15.6,4,Windows 10,1.86,469.0,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,1024,HDD,0,-
315,Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,8,Windows 10,1.1,999.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
316,Dell,XPS 13,Ultrabook,13.3,16,Windows 10,1.21,2499.0,1,3840,2160,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,1024,SSD,0,-
317,MSI,GE63VR 7RF,Gaming,15.6,16,Windows 10,2.8,2099.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1070,256,SSD,1024,HDD
318,Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,8,Windows 10,2.23,469.0,0,1920,1080,AMD,7410,A8-Series,2.2,AMD,Radeon R5,-,256,SSD,0,-
319,Asus,VivoBook Flip,2 in 1 Convertible,11.6,2,Windows 10,1.1,275.0,1,1366,768,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,32,Flash Storage,0,-
320,Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.33,844.0,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon,530,128,SSD,1024,HDD
321,HP,Spectre x360,2 in 1 Convertible,13.3,16,Windows 10,1.29,2449.0,1,3840,2160,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,1024,SSD,0,-
322,Lenovo,ThinkPad 13,Notebook,13.3,4,Chrome OS,1.45,459.9,0,1366,768,Intel,3855U,Celeron Dual Core,1.6,Intel,HD Graphics,510,16,Flash Storage,0,-
323,HP,ProBook 640,Notebook,14.0,8,Windows 10,1.95,980.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
324,Acer,TravelMate B,Notebook,11.6,4,Windows 10,1.4,485.0,0,1366,768,Intel,N3710,Pentium Quad Core,1.6,Intel,HD Graphics,405,128,Flash Storage,0,-
325,HP,Elitebook 840,Notebook,14.0,8,Windows 10,1.48,1292.0,0,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,256,SSD,0,-
326,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,4,Windows 10,2.79,589.0,0,1600,900,Intel,7200U,Core i5,2.5,Nvidia,GeForce,920MX,1024,HDD,0,-
327,Asus,ZenBook UX410UA-GV183T,Notebook,14.0,8,Windows 10,2.0,1094.0,0,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,256,SSD,0,-
329,HP,ProBook 450,Notebook,15.6,8,Windows 10,2.1,902.0,0,1366,768,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,1024,HDD,0,-
330,Acer,Aspire 5,Notebook,15.6,8,Windows 10,2.2,659.0,0,1366,768,AMD,9720P,A12-Series,2.7,AMD,Radeon RX,540,256,SSD,0,-
331,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4,Windows 10,1.44,292.0,0,1366,768,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,32,Flash Storage,0,-
332,Acer,Aspire E5-575,Notebook,15.6,6,Windows 10,2.23,549.0,0,1366,768,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,1024,HDD,0,-
333,Asus,VivoBook S15,Ultrabook,15.6,8,Windows 10,1.7,1049.9,0,1920,1080,Intel,7500U,Core i7,2.7,Nvidia,GeForce,940MX,256,SSD,0,-
334,HP,Elitebook 820,Ultrabook,12.5,8,Windows 10,1.26,1335.0,0,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,256,SSD,0,-
335,Dell,XPS 15,Notebook,15.6,32,Windows 10,2.06,2639.0,1,3840,2160,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,1024,SSD,0,-
336,MSI,GL72M 7REX,Gaming,17.3,8,Windows 10,2.7,1199.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,256,SSD,1024,HDD
337,Toshiba,Satellite Pro,Notebook,15.6,8,Windows 10,2.0,943.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
338,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,8,Windows 10,2.0,1334.0,0,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,256,SSD,1024,HDD
339,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,4,Windows 10,1.85,449.0,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,1024,HDD,0,-
340,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,8,Windows 10,2.5,999.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,256,SSD,0,-
341,HP,EliteBook 840,Notebook,14.0,8,Windows 10,1.48,1268.0,0,1920,1080,Intel,7300U,Core i5,2.6,Intel,HD Graphics,620,256,SSD,0,-
342,Dell,Inspiron 7570,Ultrabook,15.6,8,Windows 10,1.9,1049.0,0,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,940MX,128,SSD,1024,HDD
343,HP,Elitebook 850,Notebook,15.6,8,Windows 10,1.84,1144.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
344,Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,4,Linux,2.0,274.99,0,1366,768,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,1024,HDD,0,-
345,Dell,Inspiron 7570,Notebook,15.6,8,Windows 10,2.0,1142.75,0,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,940MX,256,SSD,0,-
346,Dell,Inspiron 3552,Notebook,15.6,4,Linux,2.2,274.9,0,1366,768,Intel,N3060,Celeron Dual Core,1.6,Intel,HD Graphics,-,500,HDD,0,-
347,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,12,Windows 10,2.2,899.0,0,1920,1080,AMD,9720P,A12-Series,3.6,AMD,Radeon,530,2048,HDD,0,-
348,HP,ProBook 450,Notebook,15.6,8,Windows 10,2.1,716.0,0,1920,1080,Intel,7100U,Core i3,2.4,Nvidia,GeForce,930MX,1024,HDD,0,-
351,Lenovo,Legion Y520-15IKBN,Gaming,15.6,16,Windows 10,2.4,1129.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,256,SSD,2048,HDD
352,HP,Stream 14-AX001nv,Notebook,14.0,2,Windows 10,1.44,279.0,0,1366,768,Intel,N3060,Celeron Dual Core,1.6,Intel,HD Graphics,400,32,Flash Storage,0,-
353,Dell,Latitude 5590,Ultrabook,15.6,16,Windows 10,1.88,1607.96,0,1920,1080,Intel,8650U,Core i7,1.9,Intel,UHD Graphics,620,512,SSD,256,SSD
354,Asus,VivoBook Flip,2 in 1 Convertible,11.6,4,Windows 10,1.5,375.0,1,1366,768,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,32,Flash Storage,0,-
355,Dell,Inspiron 5570,Ultrabook,15.6,8,Windows 10,1.9,663.0,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon,530,1024,HDD,0,-
358,MSI,GP72MVR 7RFX,Gaming,17.3,8,Windows 10,2.7,1409.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,128,SSD,1024,HDD
359,HP,Zbook 15,Workstation,15.6,8,Windows 10,2.6,1738.27,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,Quadro,M1200,256,SSD,0,-
360,Toshiba,Tecra A50-C-21G,Notebook,15.6,16,Windows 10,2.4,1403.0,0,1920,1080,Intel,6500U,Core i7,2.5,Nvidia,GeForce,930M,512,SSD,0,-
361,Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,970.9,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon,530,128,SSD,2048,HDD
362,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,No OS,2.2,321.99,0,1366,768,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,1024,HDD,0,-
363,Dell,Inspiron 7577,Gaming,15.6,8,Windows 10,2.65,999.0,0,1920,1080,Intel,7300HQ,Core i5,2.5,Nvidia,GeForce GTX,1050,1024,HDD,0,-
364,Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.36,557.37,1,1366,768,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,2048,HDD,0,-
365,Dell,Latitude 7480,Notebook,14.0,8,Windows 10,1.36,1427.0,0,1920,1080,Intel,7300U,Core i5,2.6,Intel,HD Graphics,620,256,SSD,0,-
366,HP,250 G6,Notebook,15.6,4,Windows 10,1.86,439.0,0,1366,768,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,500,HDD,0,-
367,Asus,Zenbook UX410UA-GV027T,Notebook,14.0,8,Windows 10,2.0,945.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
368,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,6,Windows 10,2.8,719.0,0,1600,900,Intel,7200U,Core i5,2.5,Nvidia,GeForce GTX,940MX,128,SSD,1024,HDD
369,HP,250 G6,Notebook,15.6,8,Windows 10,1.86,639.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,1024,HDD,0,-
370,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,8,No OS,2.2,499.0,0,1366,768,Intel,6006U,Core i3,2.0,Nvidia,GeForce,920MX,256,SSD,0,-
371,HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,8,Windows 10,2.04,389.0,0,1366,768,Intel,N3710,Pentium Quad Core,1.6,Intel,HD Graphics,405,2048,HDD,0,-
373,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,No OS,2.4,809.0,0,1920,1080,Intel,7300HQ,Core i5,2.5,Nvidia,GeForce GTX,1050,128,SSD,1024,HDD
374,Dell,Inspiron 5567,Notebook,15.6,8,Windows 10,2.33,899.0,0,1920,1080,Intel,7500U,Core i7,2.7,AMD,Radeon R7,M445,256,SSD,0,-
375,HP,Elitebook 1040,Ultrabook,14.0,8,Windows 10,1.36,1750.0,0,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,256,SSD,0,-
376,Asus,ZenBook Flip,2 in 1 Convertible,15.6,12,Windows 10,2.26,1099.0,1,1920,1080,Intel,7500U,Core i7,2.7,Nvidia,GeForce GT,940MX,512,SSD,2048,HDD
377,Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,426.0,0,1366,768,AMD,9420,A9-Series,3.0,AMD,Radeon R5,-,128,SSD,0,-
378,Asus,Rog Strix,Gaming,17.3,16,Windows 10,3.25,2199.0,0,1920,1080,AMD,1700,Ryzen,3.0,AMD,Radeon RX,580,256,SSD,1024,HDD
379,Lenovo,IdeaPad 110-17ACL,Notebook,17.3,4,Windows 10,2.6,489.0,0,1600,900,AMD,7410,A8-Series,2.2,AMD,Radeon R5,-,128,SSD,0,-
380,Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,Windows 10,1.62,869.01,1,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,256,SSD,0,-
381,HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,4,Windows 10,1.91,488.99,0,1920,1080,AMD,9420,A9-Series,3.0,AMD,Radeon R5,-,256,SSD,0,-
382,Lenovo,Yoga 11e,Netbook,11.6,4,Windows 10,1.59,553.0,0,1366,768,Intel,N3450,Celeron Quad Core,1.1,Intel,HD Graphics,500,128,SSD,0,-
383,Dell,Inspiron 3552,Notebook,15.6,4,Windows 10,1.8,309.0,0,1366,768,Intel,N3060,Celeron Dual Core,1.6,Intel,HD Graphics,400,500,HDD,0,-
384,Asus,VivoBook E403NA,Notebook,14.0,4,Windows 10,1.5,286.0,0,1366,768,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,32,Flash Storage,0,-
386,HP,Omen 17-w212nv,Gaming,17.3,8,Windows 10,3.35,1191.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,128,SSD,1024,HDD
387,Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,4,No OS,1.85,403.5,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,128,SSD,0,-
388,Asus,ROG Strix,Gaming,15.6,8,Windows 10,2.3,1655.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,128,SSD,1024,HDD
389,Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,8,Windows 10,1.5,1099.0,0,1920,1080,Intel,7200U,Core i5,2.5,Nvidia,GeForce,940MX,256,SSD,0,-
390,Asus,Zenbook Flip,Ultrabook,13.3,16,Windows 10,1.1,1748.9,1,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,512,SSD,0,-
391,Lenovo,Thinkpad X1,Ultrabook,14.0,8,Windows 10,1.13,2282.0,0,2560,1440,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,512,SSD,0,-
392,Lenovo,Ideapad 510S-13IKB,Notebook,13.3,4,Windows 10,1.5,549.0,0,1920,1080,Intel,7100U,Core i3,2.4,Intel,HD Graphics,620,128,SSD,0,-
393,Dell,Precision 3510,Workstation,15.6,8,Windows 10,2.23,1369.0,0,1920,1080,Intel,6440HQ,Core i5,2.6,AMD,FirePro,W5130M,500,HDD,0,-
394,Dell,Precision 5520,Workstation,15.6,8,Windows 10,2.0,2135.0,0,1920,1080,Intel,6820HQ,Core i7,2.7,Nvidia,Quadro,M1200,256,SSD,0,-
395,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,16,Windows 10,1.42,2509.0,1,2560,1440,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,512,SSD,0,-
396,Asus,Rog GL753VD-GC042T,Gaming,17.3,8,Windows 10,3.0,1039.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,1024,HDD,0,-
397,Asus,Rog GL753VE-GC070T,Gaming,17.3,16,Windows 10,3.0,1591.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,256,SSD,1024,HDD
399,Acer,Aspire 5,Notebook,15.6,12,Windows 10,2.2,693.99,0,1366,768,Intel,8250U,Core i5,1.6,Nvidia,GeForce,MX130,1024,HDD,0,-
400,MSI,Leopard GP72M,Gaming,17.3,8,Windows 10,2.7,1349.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,256,SSD,0,-
401,Dell,Inspiron 5567,Notebook,15.6,8,Linux,2.33,778.87,0,1920,1080,Intel,7500U,Core i7,2.7,AMD,Radeon R7,M445,256,SSD,0,-
402,HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,4,Windows 10,1.91,499.0,0,1920,1080,AMD,9420,A9-Series,3.0,AMD,Radeon,520,256,SSD,0,-
403,Lenovo,ThinkPad E580,Notebook,15.6,8,Windows 10,2.1,1229.56,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon RX,550,256,SSD,0,-
404,Lenovo,ThinkPad L470,Notebook,14.0,8,Windows 10,1.9,938.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
405,Dell,Precision M5520,Workstation,15.6,8,Windows 10,1.78,2712.0,1,3840,2160,Intel,7700HQ,Core i7,2.8,Nvidia,Quadro,M1200,256,SSD,0,-
406,Lenovo,Thinkpad X1,Ultrabook,14.0,16,Windows 10,1.13,2625.0,0,2560,1440,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,1024,SSD,0,-
407,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,Windows 10,2.2,306.0,0,1366,768,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,1024,HDD,0,-
408,Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,16,Windows 10,2.9,1529.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,256,SSD,1024,HDD
409,Lenovo,ThinkPad E580,Notebook,15.6,8,Windows 10,2.1,1144.5,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon RX,550,256,SSD,1024,HDD
410,Acer,Aspire 7,Notebook,15.6,8,Linux,2.5,879.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,256,SSD,0,-
411,MSI,GE73VR 7RF,Gaming,17.3,16,Windows 10,2.8,2249.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1070,256,SSD,1024,HDD
412,Asus,Zenbook 3,Ultrabook,14.0,8,Windows 10,1.1,1873.0,0,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,512,SSD,0,-
413,Toshiba,Portege Z30-C-16P,Ultrabook,13.3,16,Windows 10,1.2,1747.0,0,1920,1080,Intel,6500U,Core i7,2.5,Intel,HD Graphics,520,512,SSD,0,-
414,Dell,Latitude 7480,Ultrabook,14.0,8,Windows 10,1.36,1680.0,0,1920,1080,Intel,7600U,Core i7,2.8,Intel,HD Graphics,-,512,SSD,0,-
415,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,Windows 10,2.2,409.0,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,500,HDD,0,-
416,Lenovo,Lenovo IdeaPad,Notebook,11.6,2,Windows 10,1.15,304.45,0,1366,768,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,32,Flash Storage,0,-
417,Lenovo,ThinkPad P51,Workstation,15.6,8,Windows 10,2.67,1925.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,Quadro,M1200,512,SSD,0,-
418,Lenovo,Thinkpad T470p,Ultrabook,14.0,8,Windows 10,1.7,1943.0,0,2560,1440,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GT,940MX,512,SSD,0,-
419,HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,4,Windows 10,2.1,469.0,0,1920,1080,Intel,6006U,Core i3,2.0,AMD,Radeon,520,1024,HDD,0,-
420,Acer,Aspire R7,2 in 1 Convertible,13.3,8,Windows 10,1.6,789.01,1,1920,1080,Intel,6500U,Core i7,2.5,Intel,HD Graphics,520,256,SSD,0,-
421,Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,Windows 10,1.27,928.0,1,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
422,Dell,Inspiron 3567,Notebook,15.6,4,Linux,2.3,598.9,0,1920,1080,Intel,7200U,Core i5,2.5,AMD,Radeon R5,M430,256,SSD,0,-
423,Dell,Latitude 3380,Notebook,13.3,4,Windows 10,1.65,689.0,0,1366,768,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,128,SSD,0,-
424,HP,EliteBook 1040,Ultrabook,14.0,8,Windows 10,1.43,1500.0,0,1920,1080,Intel,6500U,Core i7,2.5,Intel,HD Graphics,520,256,SSD,0,-
425,Dell,Inspiron 3567,Notebook,15.6,8,Windows 10,2.14,539.95,0,1366,768,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,1024,HDD,0,-
426,Lenovo,ThinkPad E480,Ultrabook,14.0,8,Windows 10,1.75,1215.38,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon RX,550,256,SSD,0,-
427,Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,16,Windows 10,2.0,1899.0,1,3840,2160,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,512,SSD,0,-
428,Chuwi,LapBook 12.3,Notebook,12.3,6,Windows 10,1.4,449.0,0,2736,1824,Intel,N3450,Celeron Quad Core,1.1,Intel,HD Graphics,500,64,Flash Storage,0,-
429,HP,ProBook 650,Notebook,15.6,8,Windows 10,2.31,1427.0,0,1920,1080,Intel,7820HQ,Core i7,2.9,Intel,HD Graphics,630,256,SSD,0,-
430,Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,8,Linux,2.3,597.0,0,1920,1080,Intel,7100U,Core i3,2.4,Nvidia,GeForce,940MX,1024,HDD,0,-
431,Dell,Alienware 17,Gaming,17.3,16,Windows 10,4.42,2799.0,0,2560,1440,Intel,7820HK,Core i7,2.9,Nvidia,GeForce GTX,1070,256,SSD,1024,HDD
432,Dell,Inspiron 7577,Gaming,15.6,8,Windows 10,2.62,1159.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,128,SSD,1024,HDD
433,Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,1142.4,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon,530,256,SSD,2048,HDD
434,Dell,Latitude 5480,Ultrabook,14.0,8,Linux,1.6,1099.0,0,1920,1080,Intel,7600U,Core i7,2.8,Intel,HD Graphics,620,256,SSD,0,-
435,HP,Omen 17-w207nv,Gaming,17.3,12,Windows 10,3.35,1999.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1070,256,SSD,1024,HDD
436,Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,4,Windows 10,1.16,299.0,1,1920,1080,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,32,SSD,0,-
437,Samsung,Chromebook 3,Netbook,11.6,4,Chrome OS,1.15,269.0,0,1366,768,Intel,N3060,Celeron Dual Core,1.6,Intel,HD Graphics,400,16,Flash Storage,0,-
438,Lenovo,Thinkpad 13,Notebook,13.3,8,Windows 10,1.4,1010.0,0,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,256,SSD,0,-
439,Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,4,Windows 10,1.7,599.0,0,1920,1080,Intel,7130U,Core i3,2.7,Intel,HD Graphics,620,128,SSD,0,-
440,Lenovo,Thinkpad T570,Workstation,15.6,16,Windows 10,2.3,2445.0,0,3840,2160,Intel,7600U,Core i7,2.8,Nvidia,GeForce,940MX,512,SSD,0,-
441,Lenovo,Thinkpad P51,Notebook,15.6,16,Windows 10,2.5,2449.0,0,1920,1080,Intel,7820HQ,Core i7,2.9,Nvidia,Quadro,M2200M,512,SSD,0,-
442,Asus,Rog Strix,Gaming,17.3,8,Windows 10,3.2,1695.0,0,1920,1080,AMD,1600,Ryzen,3.2,AMD,Radeon RX,580,256,SSD,1024,HDD
443,HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,4,Windows 10,2.1,347.0,0,1366,768,Intel,N3060,Celeron Dual Core,1.6,Intel,HD Graphics,400,500,HDD,0,-
444,Google,Pixelbook (Core,Ultrabook,12.3,16,Chrome OS,1.1,2199.0,1,2400,1600,Intel,7Y75,Core i7,1.3,Intel,HD Graphics,615,512,SSD,0,-
445,Lenovo,ThinkPad T470s,Ultrabook,14.0,24,Windows 10,1.32,2382.0,0,2560,1440,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,512,SSD,0,-
446,Asus,VivoBook Max,Notebook,15.6,4,Linux,2.0,559.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
447,Lenovo,IdeaPad 320-15AST,Notebook,17.3,8,Windows 10,2.8,519.0,0,1600,900,AMD,9220,A6-Series,2.5,AMD,Radeon R4,-,1024,HDD,0,-
448,Dell,Inspiron 5570,Notebook,15.6,4,Windows 10,2.2,749.0,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon,530,256,SSD,0,-
449,Lenovo,ThinkPad X270,Ultrabook,12.5,8,Windows 10,1.36,1429.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,0,-
450,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,Windows 10,2.2,349.0,0,1920,1080,Intel,N4200,Pentium Quad Core,1.1,Intel,HD Graphics,505,128,SSD,0,-
451,HP,Omen 15-AX205na,Gaming,15.6,8,Windows 10,2.2,1099.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,128,SSD,1024,HDD
452,Dell,Latitude 5480,Notebook,14.0,8,Windows 10,1.64,1179.0,0,1920,1080,Intel,7440HQ,Core i5,2.8,Nvidia,GeForce,930MX,256,SSD,0,-
